2026-07-30 20:27:14,301 | INFO | app.services.resume_service | Resume uploaded successfully.
2026-07-30 21:08:53,249 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-30 21:08:53,250 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-30 21:08:53,250 | INFO | apscheduler.scheduler | Scheduler started
2026-07-30 21:08:53,262 | INFO | app.middleware.logging | POST /api/auth/register -> 200 (8.86 ms)
2026-07-30 21:08:53,263 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/register "HTTP/1.1 200 OK"
2026-07-30 21:08:53,272 | INFO | app.middleware.logging | POST /api/auth/login -> 200 (1.99 ms)
2026-07-30 21:08:53,274 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-07-30 21:08:53,281 | INFO | app.middleware.logging | POST /api/auth/login -> 401 (1.99 ms)
2026-07-30 21:08:53,282 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 401 Unauthorized"
2026-07-30 21:08:53,285 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-30 21:23:29,859 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-30 21:23:29,860 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-30 21:23:29,860 | INFO | apscheduler.scheduler | Scheduler started
2026-07-30 21:23:29,886 | INFO | app.middleware.logging | POST /api/resumes/upload -> 200 (21.90 ms)
2026-07-30 21:23:29,887 | INFO | httpx | HTTP Request: POST http://testserver/api/resumes/upload "HTTP/1.1 200 OK"
2026-07-30 21:23:29,895 | INFO | app.middleware.logging | GET /api/resumes -> 200 (3.62 ms)
2026-07-30 21:23:29,896 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes "HTTP/1.1 200 OK"
2026-07-30 21:23:29,904 | INFO | app.middleware.logging | GET /api/resumes/latest -> 200 (3.16 ms)
2026-07-30 21:23:29,904 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes/latest "HTTP/1.1 200 OK"
2026-07-30 21:23:29,906 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-30 21:23:55,269 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-30 21:23:55,269 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-30 21:23:55,269 | INFO | apscheduler.scheduler | Scheduler started
2026-07-30 21:23:55,293 | INFO | app.middleware.logging | POST /api/jobs -> 200 (20.01 ms)
2026-07-30 21:23:55,294 | INFO | httpx | HTTP Request: POST http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-30 21:23:55,305 | INFO | app.middleware.logging | GET /api/jobs -> 200 (6.52 ms)
2026-07-30 21:23:55,307 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-30 21:23:55,315 | INFO | app.middleware.logging | GET /api/jobs/1 -> 200 (2.91 ms)
